Area,Date,Revision,Location,NMC,Description,Format,Type,Sheets,Notes
Shediac,1950,,MDL B2,,COLOUR,paper,plans (large),"1-3, 6-8, 10-12",incomplete set
Shediac,1950,1954,Fisher Rare Book Library,,COLOUR,paper,plans,10,6 sh.
Shelburne,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,16,
Shelburne,1962,,MDL B2,,COLOUR,paper,plans,14-Jan,complete set
SHELBURNE,1924,,MDL G 3401 G475 1878-,9695,BW,microfiche,,,
Sherbrooke,1953,,Fisher Rare Book Library,,COLOUR,paper,plans,93,
Shippegan,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,18,
Shippagan,1959,,MDL B2,,COLOUR,paper,plans,16-Jan,complete set
Shubenacadie,1941,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Shubenacadie,1941,1947,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Simcoe,1949,,Fisher Rare Book Library,,COLOUR,paper,plans,18,
Simcoe,1949,,MDL B2,,COLOUR,paper,plans (large),18-Jan,complete set
SIMCOE,1919,1929,MDL G 3401 G475 1878-,10711,BW,microfiche,,,
Sioux Lookout,1950,,Fisher Rare Book Library,,COLOUR,paper,plans,7,
Sioux Lookout,1950,,MDL B2,,COLOUR,paper,plans (large),7-Jan,complete set
Smithers,1954,1959,Fisher Rare Book Library,,COLOUR,paper,plans,8,
Smiths Falls,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,30,
Smiths Falls,1959,,MDL B2,,COLOUR,paper,plans,24-Jan,complete set
SMITHS FALLS,1929,,MDL G 3401 G475 1878-,9698,BW,microfiche,,,
SMITHVILLE,1885,1909,MDL G 3401 G475 1878-,13971,BW,microfiche,,,
SOREL,1947,,MDL G 3401 G475 1878-,9232,BW,microfiche,,,
Sorel,1947,,MDL B2,,COLOUR,paper,plans (large),"5, 11",incomplete set. Includes index
Souris,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,7,
Souris,1962,,MDL B2,,COLOUR,paper,plans,5-Jan,complete set
Souris East,1956,1962,Fisher Rare Book Library,,COLOUR,paper,plans,10,
Southampton,1928,,MDL B2,,COLOUR,paper,plans (large),1,incomplete set
SOUTH INDIAN,1902,,MDL G 3401 G475 1878-,9701,BW,microfiche,,,
South Porcupine,1952,,Fisher Rare Book Library,,COLOUR,paper,plans,8,
South Porcupine,1952,,MDL B2,,COLOUR,paper,plans,7-Jan,complete set
South River,1908,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Southampton,1928,,Fisher Rare Book Library,,COLOUR,paper,plans,5,
SOUTHAMPTON,1890,1904,MDL G 3401 G475 1878-,13972,BW,microfiche,,,
Spanish River,1896,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
